Config,Opponent,Game_ID,Q_Starts,Outcome,Moves,Total_Reward
baseline,NoisyHeuristicAgent,8,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,9,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,10,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,11,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,12,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,13,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,14,True,Loss,4,-1.0
baseline,NoisyHeuristicAgent,15,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,16,True,Loss,8,-1.0
baseline,NoisyHeuristicAgent,17,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,18,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,19,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,20,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,21,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,22,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,23,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,24,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,25,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,26,True,Loss,4,-1.0
baseline,NoisyHeuristicAgent,27,True,Loss,9,-1.0
baseline,NoisyHeuristicAgent,28,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,29,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,30,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,31,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,32,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,33,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,34,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,35,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,36,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,37,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,38,True,Loss,4,-1.0
baseline,NoisyHeuristicAgent,39,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,40,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,41,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,42,True,Loss,4,-1.0
baseline,NoisyHeuristicAgent,43,True,Loss,8,-1.0
baseline,NoisyHeuristicAgent,44,True,Loss,7,-1.0
baseline,NoisyHeuristicAgent,45,True,Loss,6,-1.0
baseline,NoisyHeuristicAgent,46,True,Loss,8,-1.0
baseline,NoisyHeuristicAgent,47,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,48,True,Loss,8,-1.0
baseline,NoisyHeuristicAgent,49,True,Loss,5,-1.0
baseline,NoisyHeuristicAgent,50,False,Loss,6,-1.0
baseline,NoisyHeuristicAgent,51,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,52,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,53,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,54,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,55,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,56,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,57,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,58,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,59,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,60,False,Loss,8,-1.0
baseline,NoisyHeuristicAgent,61,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,62,False,Loss,3,-1.0
baseline,NoisyHeuristicAgent,63,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,64,False,Loss,10,-1.0
baseline,NoisyHeuristicAgent,65,False,Loss,3,-1.0
baseline,NoisyHeuristicAgent,66,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,67,False,Loss,6,-1.0
baseline,NoisyHeuristicAgent,68,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,69,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,70,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,71,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,72,False,Loss,6,-1.0
baseline,NoisyHeuristicAgent,73,False,Loss,7,-1.0
baseline,NoisyHeuristicAgent,74,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,75,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,76,False,Loss,4,-1.0
baseline,NoisyHeuristicAgent,77,False,Loss,5,-1.0
baseline,NoisyHeuristicAgent,78,False,Loss,4,-1.0
